committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,238.1,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,FLEXPOINT MEDIA INC,OH,MEDIA PLACEMENT,2022-02-16T00:00:00Z,37500,S,"DE LA CRUZ, MONICA",H,NA
INDIVISIBLE ACTION,2021,BLUE STATE DIGITAL,NY,DIGITAL ADVERTISING - ESTIMATE,2021-11-23T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,BRUSHFIRE LLC,DC,GOTV PHONE CALLS,2022-05-09T00:00:00Z,1902.18,O,"CISNEROS, JESSICA",H,NA
PROTECT AND SERVE PAC,2022,VICTORY ENTERPRISES,IA,DIGITAL ADVERTISING,2022-02-25T00:00:00Z,5000,S,"NG, WILLIE VASQUEZ",H,REP
PROTECT AND SERVE PAC,2022,VICTORY ENTERPRISES,IA,PRODUCTION COST: VIDEO,2022-02-23T00:00:00Z,5300,S,"NG, WILLIE VASQUEZ",H,REP
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- DIGITAL,2022-04-29T00:00:00Z,22512,S,"CUELLAR, HENRY",H,DEM
MAINSTREAM DEMOCRATS PAC,2022,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,DIGITAL ADVERTISING BUY,2022-05-10T00:00:00Z,55945,S,"CUELLAR, HENRY",H,DEM
"GREENPEACE, INC.",2022,HOVER,ZZ,NA,2022-04-01T00:00:00Z,43.79,S,"CISNEROS, JESSICA",H,DEM
BIENVENIDO ACTION PAC,2022,VISTAPRINT,MA,PRINTING EXPENSE: DOORHANGERS,2022-05-23T00:00:00Z,334.33,S,"FLORES, MAYRA",H,REP
